data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:41:26.026;252;EMEF RINCÃO                                             ;0;0;0;0;0;0;471;30;501;0;0;0;0;501
2022-05-01 01:41:26.026;253;EMEF MORADAS DA HÍPICA                                  ;0;0;0;105;0;105;937;39;976;0;0;0;0;1081
2022-05-01 01:41:26.026;254;EMEF PORTO NOVO                                         ;0;0;0;0;82;82;458;0;458;0;0;0;0;540
2022-05-01 01:41:26.026;301;EMEM EMÍLIO MEYER                                       ;0;0;0;0;71;71;355;0;355;0;307;3;0;736
2022-05-01 01:41:26.026;401;CMET PAULO FREIRE                                       ;0;0;0;0;0;0;0;0;0;714;0;0;0;714
2022-05-01 01:40:28.979;5001;5001 IEI MÃEZINHA DO CÉU                                ;0;34;34;0;22;22;0;0;0;0;0;0;0;56
2022-05-01 01:40:28.981;5002;5002 IEI JOÃO PAULO II                                  ;0;30;30;0;62;62;0;0;0;0;0;0;0;92
2022-05-01 01:40:28.982;5003;5003 EEI ESTRELINHA DO CÉU                              ;0;63;63;0;64;64;0;0;0;0;0;0;0;127
2022-05-01 01:40:28.983;5004;5004 EEI ESTRELINHA DO AMANHÃ                           ;0;50;50;0;45;45;0;0;0;0;0;0;0;95
2022-05-01 01:40:28.989;5005;5005 IEI VILA UNIÃO                                     ;0;56;56;0;36;36;0;0;0;0;0;0;0;92
2022-05-01 01:40:28.990;5006;5006 EEI TRENZINHO DA ALEGRIA                           ;0;20;20;0;26;26;0;0;0;0;0;0;0;46
2022-05-01 01:40:28.992;5007;5007 IEI EUGÊNIA CONTE                                  ;0;69;69;0;95;95;0;0;0;0;0;0;0;164
2022-05-01 01:40:28.993;5008;5008 EEI  JOANA D'ARC                                   ;0;40;40;0;32;32;0;0;0;0;0;0;0;72
2022-05-01 01:40:28.994;5009;5009 IEI SANTA CATARINA                                 ;0;49;49;0;43;43;0;0;0;0;0;0;0;92
2022-05-01 01:40:28.995;5010;5010 IEI ACOMPAR NUCLEO II - SANTO AGOSTINHO            ;0;87;87;0;83;83;0;0;0;0;0;0;0;170
2022-05-01 01:40:28.996;5012;5012 EEI JESUS O BOM PASTOR                             ;0;54;54;0;50;50;0;0;0;0;0;0;0;104
2022-05-01 01:40:28.997;5013;5013 IEI SANTA LUIZA                                    ;0;86;86;0;104;104;0;0;0;0;0;0;0;190
2022-05-01 01:40:28.998;5016;5016 IEI OSICOM I                                       ;0;75;75;0;97;97;0;0;0;0;0;0;0;172
